Information and diagnostics 
=========================== 
Total iter:                       10 
Thin:                             1 
Num chains:                       3 
Max Rhat:                         Inf 
Min n.eff:                        0 


Model summary 
============= 
                        mean           sd          2.5%          50%        97.5%   Rhat n.eff
mean.M[2, 16]    0.094544814 3.826383e-02  0.0448001181  0.084600675  0.152683764   1.74    24
mean.M[3, 16]    0.081515853 2.314190e-02  0.0207105904  0.089481307  0.115454748   1.08    34
mean.M[4, 16]    0.021880806 1.137189e-02  0.0054011701  0.021773300  0.042036978   2.49    19
mean.M[5, 16]    0.196731425 1.204909e-01  0.0277631807  0.231214630  0.378484672   2.58    17
mean.Pi[1]       0.865224629 9.817945e-02  0.6487886236  0.891507217  0.975280325   0.98    30
mean.Pi[2]       0.733811058 1.160502e-01  0.6265417644  0.646796081  0.883271233   9.23     4
mean.Pi[3]       0.781323740 0.000000e+00  0.7813237401  0.781323740  0.781323740    NaN     0
mean.Pi[4]       0.900799100 1.080574e-02  0.8988262519  0.898826252  0.915102252   1.28    10
mean.Pi[5]       0.726718384 1.215646e-01  0.6108475520  0.709436143  0.896352302   1.84     5
mean.Pi[6]       0.887284997 2.552496e-02  0.8370931191  0.899832967  0.899832967    Inf     2
mean.Pi[7]       0.796714171 7.247050e-02  0.7353999547  0.735399955  0.888651772   9.21     4
mean.Pi[8]       0.905885282 1.685209e-05  0.9058629755  0.905888359  0.905888359   1.28    10
mean.Pi[9]       0.767503701 1.457406e-01  0.5176997442  0.798064959  0.947212854    Inf     5
mean.Pi[10]      0.866622925 0.000000e+00  0.8666229246  0.866622925  0.866622925    NaN     0
mean.Pi[11]      0.819542690 9.982159e-03  0.8141607902  0.814160790  0.839368474   2.25     5
mean.Pi[12]      0.851422250 4.455099e-02  0.7119123754  0.876435972  0.876435972    Inf     3
mean.Pi[13]      0.758057848 5.717794e-02  0.7255804478  0.729435119  0.864333451  42.60    12
mean.Pi[14]      0.852889178 1.711851e-02  0.8331966414  0.850348503  0.884996165   1.23    10
