Information and diagnostics 
=========================== 
Total iter:                       10000 
Thin:                             1 
Num chains:                       3 
Max Rhat:                         1.04 
Min n.eff:                        0 


Model summary 
============= 
                       mean         sd          2.5%          50%       97.5% Rhat n.eff
betaD.R[1]      -0.65048827 0.51762800 -1.6826321161 -0.646969027  0.33377274 1.01   946
mean.R[2, 9]     0.16271276 0.08901948  0.0401503164  0.146123257  0.37872228 1.00  5001
mean.R[3, 9]     0.17484618 0.10729448  0.0323281114  0.153130370  0.43888619 1.00  4985
mean.R[4, 9]     0.10092480 0.05758218  0.0239402016  0.089189700  0.24347008 1.00  6734
mean.R[5, 9]     0.24939603 0.11451692  0.0730237634  0.233658196  0.51304232 1.00  7171
mean.R[6, 9]     0.12116046 0.08679759  0.0174883543  0.098857561  0.34986132 1.00  5729
mean.R[1, 10]    0.04849824 0.03195701  0.0080754153  0.041428542  0.13045766 1.00  5717
mean.R[2, 10]    0.11719701 0.07241884  0.0200905502  0.103497601  0.29465103 1.00  4587
mean.R[3, 10]    0.14014773 0.10198346  0.0168149831  0.114270974  0.39824144 1.00  4327
mean.R[4, 10]    0.08298569 0.05832538  0.0120127022  0.068954456  0.22992328 1.00  5995
mean.R[5, 10]    0.21985422 0.12054387  0.0428139969  0.201234899  0.50133859 1.00  5095
mean.R[6, 10]    0.10306786 0.08397608  0.0104103936  0.079919754  0.32592722 1.01  6363
mean.R[1, 11]    0.16258421 0.10245410  0.0348854989  0.137690139  0.42759292 1.01  2238
mean.R[2, 11]    0.25385439 0.11847948  0.0751540297  0.236222295  0.52655590 1.00  4472
mean.R[3, 11]    0.23704032 0.12697929  0.0512689821  0.217374019  0.52672964 1.01  5484
mean.R[4, 11]    0.14219362 0.09880606  0.0245646113  0.116881701  0.40210392 1.01  3681
mean.R[5, 11]    0.29947408 0.14202623  0.0797964116  0.279729106  0.62162402 1.00  4523
mean.R[6, 11]    0.17342071 0.11715359  0.0253932287  0.146896646  0.46966074 1.00  5016
mean.R[1, 12]    0.07238901 0.04831970  0.0120852286  0.061600635  0.19225559 1.00  3911
mean.R[2, 12]    0.12279423 0.07603091  0.0213874072  0.108289516  0.30856458 1.00  4131
mean.R[3, 12]    0.11690152 0.08619648  0.0147013148  0.096014226  0.33757571 1.00  3963
mean.R[4, 12]    0.06150502 0.04700045  0.0085244801  0.049322910  0.18416861 1.00  5385
mean.R[5, 12]    0.14468516 0.08918521  0.0251676013  0.127418730  0.36463941 1.00  5275
mean.R[6, 12]    0.07063464 0.05622251  0.0076634416  0.056014009  0.22068630 1.01  6853
mean.R[1, 13]    0.18397825 0.09860383  0.0511280984  0.162859497  0.42524953 1.01  2535
mean.R[2, 13]    0.25574308 0.10898066  0.0880067107  0.240999045  0.50552165 1.01  3601
mean.R[3, 13]    0.24075018 0.11811183  0.0655259377  0.222456092  0.51643352 1.01  4243
mean.R[4, 13]    0.14758384 0.08597288  0.0346861119  0.128831156  0.36238853 1.01  2893
mean.R[5, 13]    0.27447107 0.12862040  0.0813336114  0.255202566  0.57030598 1.01  3533
mean.R[6, 13]    0.11786088 0.08264441  0.0199788752  0.096990466  0.33651923 1.00  3955
mean.R[1, 14]    0.07260416 0.04979058  0.0119054353  0.061271585  0.20043066 1.00  3787
mean.R[2, 14]    0.12190370 0.07459692  0.0206802234  0.108075782  0.30503994 1.01  4319
mean.R[3, 14]    0.11566837 0.07581575  0.0171013659  0.099183342  0.30461180 1.00  3457
mean.R[4, 14]    0.06397441 0.04449910  0.0095496990  0.053478347  0.17867580 1.00  5073
mean.R[5, 14]    0.14861743 0.09011519  0.0246060642  0.131743806  0.36728376 1.01  4809
mean.R[6, 14]    0.06463172 0.05071818  0.0070415001  0.051406034  0.19723663 1.01  5573
mean.R[1, 15]    0.06610450 0.04511936  0.0105095484  0.055996163  0.18271574 1.00  4273
mean.R[2, 15]    0.12755675 0.08139602  0.0196371857  0.111172118  0.32819105 1.00  4911
mean.R[3, 15]    0.12894091 0.09292253  0.0157370108  0.105577151  0.36278231 1.00  5045
mean.R[4, 15]    0.06966606 0.04900475  0.0104604380  0.057764262  0.19613651 1.00  5810
mean.R[5, 15]    0.17774644 0.10927116  0.0289364978  0.157469576  0.44198400 1.00  5459
mean.R[6, 15]    0.08512550 0.06593658  0.0094393914  0.067786155  0.25909120 1.01  7027
mean.R[1, 16]    0.07329237 0.04774923  0.0146212724  0.062457430  0.19565356 1.00  4504
mean.R[2, 16]    0.13318620 0.07000275  0.0319725413  0.121943980  0.29790237 1.00  6627
mean.R[3, 16]    0.13865431 0.08980999  0.0234451541  0.118884667  0.36255303 1.00  5236
mean.R[4, 16]    0.07832345 0.05203239  0.0147894033  0.065951832  0.21135771 1.00  5698
mean.R[5, 16]    0.18626221 0.09657135  0.0456460884  0.171223906  0.41238908 1.00  7147
mean.R[6, 16]    0.08581267 0.06469452  0.0118999522  0.069129070  0.25251729 1.01  6215
mean.R[1, 17]    0.10960365 0.12042789  0.0070223079  0.070212863  0.46199076 1.00  1618
mean.R[2, 17]    0.10742182 0.08607663  0.0108804299  0.085450688  0.32919558 1.00  2847
mean.R[3, 17]    0.08870291 0.07955341  0.0064298144  0.065710760  0.29829274 1.00  2832
mean.R[4, 17]    0.04551804 0.04459218  0.0027235115  0.032311940  0.16504323 1.00  3759
mean.R[5, 17]    0.08893798 0.08453090  0.0037708358  0.064451552  0.31233533 1.01  3394
mean.R[6, 17]    0.03962378 0.04828027  0.0011909865  0.023612740  0.17129870 1.00  4127
mean.p[1]        0.88671658 0.15522711  0.3889473186  0.943851846  0.99699109 1.01  2684
mean.p[2]        0.96808546 0.03061244  0.8858631027  0.977007103  0.99846968 1.00  6270
mean.p[3]        0.97777225 0.02019521  0.9247794882  0.983499295  0.99902999 1.00  5031
mean.p[4]        0.98356119 0.01411529  0.9475982506  0.987407574  0.99910249 1.00  5040
mean.p[5]        0.97175804 0.01922245  0.9235274705  0.976271203  0.99600394 1.00  6570
mean.p[6]        0.98441605 0.01334339  0.9497494142  0.987974697  0.99915194 1.00  3509
mean.p[7]        0.98177348 0.01594380  0.9388325904  0.986073391  0.99903115 1.00  3983
mean.p[8]        0.96680598 0.02258172  0.9118477221  0.971911755  0.99549648 1.00  6986
mean.p[9]        0.97951228 0.01851046  0.9304953677  0.984448651  0.99905963 1.00  4835
mean.p[10]       0.97066624 0.02035823  0.9191749610  0.975395868  0.99613029 1.00  6712
mean.p[11]       0.96126269 0.02225442  0.9071289221  0.965642919  0.99112387 1.00  7056
mean.p[12]       0.92916821 0.03173283  0.8551649115  0.933785253  0.97714505 1.00  7161
mean.p[13]       0.90042431 0.03475099  0.8224387216  0.904198288  0.95631100 1.00  7639
mean.p[14]       0.72967282 0.05680072  0.6122902277  0.732546323  0.83404483 1.00  6740
mean.p[15]       0.91637218 0.03415085  0.8385177276  0.920586695  0.96978052 1.00  7176
mean.p[16]       0.95562493 0.02218771  0.9030468289  0.959424016  0.98754740 1.00  7217
mean.p[17]       0.95277605 0.02369400  0.8959262473  0.956623718  0.98715306 1.00  7313
mean.p[18]       0.81035648 0.08539659  0.6492426649  0.806454998  0.97397349 1.00  1073
mean.phi[1, 1]   0.58543934 0.13415511  0.3176075040  0.588509804  0.82931885 1.00  5671
mean.phi[2, 1]   0.78299838 0.10511271  0.5373154625  0.798869279  0.94025795 1.00  4059
mean.phi[3, 1]   0.83203409 0.11602100  0.5397079640  0.857953480  0.97965264 1.00  3371
mean.phi[4, 1]   0.82865777 0.10828072  0.5529921068  0.853409339  0.96577280 1.01  3338
mean.phi[5, 1]   0.57184591 0.17290604  0.2131534088  0.583977674  0.86831023 1.00  4424
mean.phi[6, 1]   0.68198729 0.15528247  0.3612524783  0.693818138  0.94489790 1.01  2164
mean.phi[1, 2]   0.65198531 0.07810959  0.4924783286  0.654801009  0.79394560 1.00  8300
mean.phi[2, 2]   0.83606231 0.08093688  0.6458704057  0.849206130  0.95712825 1.00  6079
mean.phi[3, 2]   0.70194579 0.12984835  0.4135957693  0.717731053  0.90774130 1.00  6615
mean.phi[4, 2]   0.87646999 0.09392751  0.6261334486  0.901468192  0.98304367 1.00  4544
mean.phi[5, 2]   0.48327379 0.19822365  0.1229993257  0.481744938  0.85448304 1.00  5488
mean.phi[6, 2]   0.21653911 0.12581268  0.0378596232  0.193825220  0.51325164 1.00  6192
mean.phi[1, 3]   0.57358015 0.08635101  0.3996425750  0.575696457  0.73878917 1.00  9582
mean.phi[2, 3]   0.83841347 0.06278780  0.6951054846  0.846110933  0.93847043 1.00 10792
mean.phi[3, 3]   0.70463358 0.11718624  0.4478098603  0.715825858  0.89846348 1.00  9037
mean.phi[4, 3]   0.87340825 0.07624690  0.6849853764  0.888559646  0.97542094 1.00  6547
mean.phi[5, 3]   0.53477207 0.19266532  0.1673590685  0.539063349  0.88391580 1.00  6705
mean.phi[6, 3]   0.25191307 0.13542057  0.0505523268  0.230250469  0.56201686 1.00  8947
