Information and diagnostics 
=========================== 
Total iter:                       10000 
Thin:                             1 
Num chains:                       3 
Max Rhat:                         1.14 
Min n.eff:                        0 


Model summary 
============= 
                        mean          sd         2.5%           50%       97.5% Rhat n.eff
betaVR.R[1]      0.535593091 0.720803227 -0.862674914  5.204962e-01  1.96702089 1.00  1445
mean.phi[1, 5]   0.881645212 0.065111982  0.723023277  8.940797e-01  0.97154067 1.00  5446
mean.phi[2, 5]   0.931503446 0.029605238  0.861536386  9.360397e-01  0.97596058 1.00  7939
mean.phi[3, 5]   0.910212493 0.053650861  0.779636920  9.206198e-01  0.98306728 1.00  2646
mean.phi[4, 5]   0.719732267 0.100981373  0.501511841  7.275761e-01  0.89079276 1.00  3860
mean.phi[1, 6]   0.899171264 0.058690995  0.754956423  9.109968e-01  0.97788280 1.00  5143
mean.phi[2, 6]   0.963333860 0.019059472  0.917292222  9.668696e-01  0.99036180 1.00  5550
mean.phi[3, 6]   0.730842814 0.089570846  0.535158397  7.388499e-01  0.88080511 1.00  7129
mean.phi[4, 6]   0.415481434 0.112266921  0.203267762  4.141628e-01  0.63397225 1.00  5008
mean.phi[1, 7]   0.887284824 0.069816402  0.708164161  9.026746e-01  0.97736931 1.00  4712
mean.phi[2, 7]   0.937388533 0.026591815  0.874882529  9.416230e-01  0.97692877 1.00  8256
mean.phi[3, 7]   0.914153552 0.051165584  0.790189226  9.242345e-01  0.98360275 1.00  3096
mean.phi[4, 7]   0.664560107 0.137936290  0.368785038  6.741459e-01  0.89691519 1.00  3718
mean.phi[1, 8]   0.839349228 0.076906729  0.655046350  8.524172e-01  0.94978785 1.00  5677
mean.phi[2, 8]   0.910734635 0.033954015  0.830401684  9.153319e-01  0.96284087 1.00  7204
mean.phi[3, 8]   0.772150392 0.068173032  0.621807764  7.788979e-01  0.88582417 1.00  5410
mean.phi[4, 8]   0.495020764 0.121173668  0.251868903  4.983170e-01  0.71904858 1.00  4485
mean.phi[1, 9]   0.897100535 0.057692976  0.755165042  9.087697e-01  0.97644077 1.00  5209
