Information and diagnostics 
=========================== 
Total iter:                       10000 
Thin:                             1 
Num chains:                       3 
Max Rhat:                         1.06 
Min n.eff:                        0 


Model summary 
============= 
                        mean          sd         2.5%           50%       97.5% Rhat n.eff
betaVR.R[1]      0.378991498 0.564101386 -0.617283931  3.438035e-01  1.59510723 1.00  3282
mean.R[1, 1]     0.097327315 0.100449027  0.008978629  6.895699e-02  0.38958112 1.01  2586
mean.R[2, 1]     0.136233469 0.121838511  0.011015621  1.028392e-01  0.48017927 1.00  2387
mean.R[3, 1]     0.298792910 0.196992335  0.041051843  2.491564e-01  0.81004544 1.00  3779
mean.R[4, 1]     0.124440032 0.094433821  0.027726396  9.868440e-02  0.38468001 1.00  2172
mean.R[1, 2]     0.058444224 0.034517825  0.011506209  5.227308e-02  0.14320918 1.00  3143
mean.R[2, 2]     0.090194123 0.051267522  0.016563671  8.126206e-02  0.21289579 1.00  3947
mean.R[3, 2]     0.209369589 0.094270057  0.048659296  2.024477e-01  0.41240491 1.00  2921
mean.R[4, 2]     0.077845477 0.039465992  0.017284332  7.270439e-02  0.16838912 1.00  3565
mean.R[1, 3]     0.059821695 0.034236620  0.013236806  5.354478e-02  0.14363449 1.01  3294
mean.R[2, 3]     0.089686303 0.050093929  0.018969095  8.069811e-02  0.21084602 1.01  3650
mean.R[3, 3]     0.214581312 0.090899336  0.060211667  2.074156e-01  0.41325377 1.01  3650
mean.R[4, 3]     0.078789986 0.038804515  0.020645017  7.329372e-02  0.17056662 1.00  4096
mean.R[1, 4]     0.071439209 0.041694515  0.015617158  6.364049e-02  0.17156774 1.01  4018
mean.R[2, 4]     0.072477176 0.046122296  0.012830909  6.242405e-02  0.18829718 1.01  4068
mean.R[3, 4]     0.273321314 0.130939521  0.062598955  2.590765e-01  0.55991547 1.00  3466
mean.R[4, 4]     0.081936738 0.043592493  0.018426842  7.498361e-02  0.18567030 1.00  4143
mean.R[1, 5]     0.058546700 0.070630872  0.001599168  3.364664e-02  0.25513490 1.00  3801
mean.R[2, 5]     0.297108918 0.150723321  0.071960690  2.742406e-01  0.64400486 1.00  6817
mean.R[3, 5]     0.121839232 0.121247294  0.007806930  8.166570e-02  0.46460936 1.01  3671
mean.R[4, 5]     0.110049399 0.088115194  0.013817967  8.516563e-02  0.34366048 1.01  3433
mean.R[1, 6]     0.043033058 0.051835363  0.001361050  2.504657e-02  0.18895922 1.00  3177
mean.R[2, 6]     0.206503637 0.120726137  0.036619436  1.849166e-01  0.49102432 1.00  3292
mean.R[3, 6]     0.089891700 0.074471779  0.008226878  6.880253e-02  0.28797471 1.00  6631
mean.R[4, 6]     0.073844759 0.051323012  0.010720729  6.168831e-02  0.20830596 1.00  4741
mean.R[1, 7]     0.050055573 0.062429138  0.001260456  2.800134e-02  0.22590458 1.00  3629
mean.R[2, 7]     0.250976819 0.135315530  0.051610668  2.293263e-01  0.56593496 1.00  6169
mean.R[3, 7]     0.104000980 0.101420321  0.006672948  7.212856e-02  0.38679183 1.00  6072
mean.R[4, 7]     0.091292923 0.073380474  0.010629276  7.098419e-02  0.28588184 1.00  4712
mean.R[1, 8]     0.068762247 0.041986304  0.016230974  5.964268e-02  0.17552539 1.00  2875
mean.R[2, 8]     0.130135212 0.060849477  0.042934393  1.196634e-01  0.27796032 1.00  4001
