mean.R[4, 1]     0.2839481126 0.26432252  0.0089112785  0.1882300522  0.93009760 1.00  3001
mean.R[1, 2]     0.3719074385 0.24205946  0.0093185962  0.3556377349  0.83474181 1.00  1488
mean.R[2, 2]     0.1970406047 0.17414320  0.0029212771  0.1496455800  0.62830637 1.00  1821
mean.R[3, 2]     0.1862914670 0.16561119  0.0026165231  0.1421953716  0.59850020 1.00  1755
mean.R[4, 2]     0.0579514230 0.06541396  0.0005623034  0.0362410706  0.23821548 1.00  2624
mean.R[1, 3]     0.4528601485 0.22401027  0.0597971477  0.4518539378  0.86233329 1.00  2040
mean.R[2, 3]     0.2497540380 0.18494203  0.0158351041  0.2082889847  0.70173670 1.00  1885
mean.R[3, 3]     0.2299556928 0.16884753  0.0140689361  0.1940477623  0.62914711 1.00  2416
mean.R[4, 3]     0.0761853144 0.07545262  0.0029680453  0.0532090054  0.28191525 1.00  3120
mean.R[1, 4]     0.5431744872 0.17306472  0.2028468064  0.5508912067  0.85325029 1.00  3650
mean.R[2, 4]     0.2974452727 0.19002077  0.0405547507  0.2605524574  0.74446465 1.00  1789
mean.R[3, 4]     0.2213043328 0.15180726  0.0260219761  0.1869852823  0.59517831 1.00  2930
mean.R[4, 4]     0.0758801865 0.07053207  0.0061403803  0.0549457684  0.26850949 1.01  3318
mean.R[1, 5]     0.6879434732 0.24656273  0.1425876235  0.7463201499  0.99110589 1.00  1880
mean.R[2, 5]     0.5951219538 0.18114289  0.2256709027  0.6062209362  0.90380194 1.00  4602
mean.R[3, 5]     0.7938006340 0.18563879  0.3083766119  0.8538450735  0.98989058 1.00  2958
mean.R[4, 5]     0.4902434400 0.27606067  0.0418287154  0.4836340962  0.95823074 1.00  2822
mean.R[1, 6]     0.6305410517 0.24508769  0.1374708047  0.6654559640  0.97926324 1.00  1988
mean.R[2, 6]     0.4968482400 0.17946952  0.1616607424  0.4943135109  0.83503198 1.00  4623
mean.R[3, 6]     0.7148363230 0.18670958  0.2804240931  0.7504686239  0.96809086 1.00  3581
mean.R[4, 6]     0.3851219200 0.25195503  0.0282976635  0.3468891687  0.89254405 1.00  3590
mean.R[1, 7]     0.4268554431 0.31558015  0.0049090930  0.3842988674  0.98000480 1.00  1612
mean.R[2, 7]     0.3218258077 0.27352728  0.0022421654  0.2567757841  0.92185801 1.00   976
mean.R[3, 7]     0.5079603531 0.31170565  0.0097594066  0.5231094105  0.98490460 1.00  1522
mean.R[4, 7]     0.2617013872 0.27402456  0.0012192893  0.1520434060  0.92418021 1.00  1900
mean.R[1, 8]     0.6581353182 0.22140435  0.1778011132  0.6903634795  0.97281839 1.00  2235
mean.R[2, 8]     0.4556470099 0.23300591  0.0703735439  0.4351449156  0.90695324 1.00  2322
mean.R[3, 8]     0.4789833845 0.23972215  0.0749874294  0.4674617919  0.92481740 1.00  2620
mean.R[4, 8]     0.2197167187 0.18805759  0.0154338401  0.1620280378  0.72070061 1.00  2462
mean.R[1, 9]     0.4408594006 0.22009993  0.0631817066  0.4416453042  0.84816169 1.00  2127
mean.R[2, 9]     0.2340110407 0.15955943  0.0222713199  0.2012899122  0.61384148 1.00  2516
mean.R[3, 9]     0.2289105291 0.15693446  0.0193694594  0.1990537959  0.59584994 1.00  2089
mean.R[4, 9]     0.0797942034 0.08552412  0.0034139150  0.0521520755  0.31578111 1.00  2824
mean.R[1, 10]    0.4748433399 0.22395056  0.0667767601  0.4819599644  0.87808815 1.00  2667
mean.R[2, 10]    0.2823183858 0.18957544  0.0231244819  0.2496138975  0.71613957 1.00  2563
mean.R[3, 10]    0.3256856611 0.19320481  0.0326828294  0.3022657568  0.74186006 1.00  3575
mean.R[4, 10]    0.1218819184 0.12260254  0.0052642496  0.0813168575  0.46839959 1.00  3195
mean.R[1, 11]    0.8692479469 0.12796148  0.5200194590  0.9121359064  0.99558757 1.02  1179
mean.R[2, 11]    0.6778923935 0.25086615  0.1392247651  0.7359912744  0.98932263 1.00   755
mean.R[3, 11]    0.5660070253 0.23823747  0.1181110094  0.5809623952  0.94965571 1.00  1193
mean.R[4, 11]    0.3277864848 0.24092556  0.0241275291  0.2694428481  0.88191715 1.00  1360
mean.R[1, 12]    0.6362160198 0.22217995  0.1498251435  0.6702134100  0.95861160 1.00  2319
mean.R[2, 12]    0.3894727494 0.26087819  0.0288333188  0.3417699034  0.92307063 1.00  1292
mean.R[3, 12]    0.2735229702 0.21983921  0.0142395899  0.2154968093  0.81590087 1.01  2092
mean.R[4, 12]    0.1232482701 0.15096820  0.0033210339  0.0661011817  0.58165242 1.01  2045
mean.R[1, 13]    0.8728299596 0.12502001  0.5472273589  0.9143911692  0.99795721 1.01   865
mean.R[2, 13]    0.6975408013 0.23902540  0.1790004869  0.7539699244  0.99402875 1.00   734
mean.R[3, 13]    0.6078805989 0.24939111  0.1315774130  0.6262910426  0.98423410 1.00  1013
mean.R[4, 13]    0.3734022437 0.27584536  0.0277239976  0.3027810684  0.95440701 1.00   934
mean.R[1, 14]    0.5901614017 0.23587537  0.1066913029  0.6240521440  0.94742795 1.00  1637
mean.R[2, 14]    0.3464731191 0.22169470  0.0372871034  0.3060847972  0.84656011 1.00  1735
mean.R[3, 14]    0.2672176159 0.20371178  0.0158868038  0.2173441973  0.76592994 1.01  1973
mean.R[4, 14]    0.1004952030 0.10311727  0.0040224814  0.0674042118  0.38804642 1.00  2828
