Information and diagnostics 
=========================== 
Total iter:                       10000 
Thin:                             1 
Num chains:                       3 
Max Rhat:                         1.43 
Min n.eff:                        0 


Model summary 
============= 
                        mean         sd          2.5%          50%       97.5% Rhat n.eff
betaD.R[1]      -0.563261228 0.49321675 -1.5475749728 -0.557653346  0.38305060 1.00   975
mean.phi[3, 1]   0.833558681 0.10144212  0.5859745429  0.852051947  0.97333837 1.00  2876
mean.phi[4, 1]   0.833828299 0.08951043  0.6034516400  0.851276940  0.95577441 1.01  3983
mean.phi[5, 1]   0.597907733 0.15004663  0.2755969772  0.611876544  0.85311400 1.00  4170
mean.phi[6, 1]   0.640233430 0.14933467  0.3467406741  0.643937565  0.91159027 1.01  2277
mean.phi[1, 2]   0.634995226 0.07491352  0.4828168571  0.637347640  0.77497400 1.00  7849
mean.phi[2, 2]   0.825641492 0.07481217  0.6524993252  0.835261036  0.94113312 1.00  6788
mean.phi[3, 2]   0.716634050 0.11379211  0.4601768765  0.730153715  0.89890092 1.00  7155
mean.phi[4, 2]   0.875579437 0.08422546  0.6588248739  0.895824105  0.97704459 1.00  4257
mean.phi[5, 2]   0.495916175 0.17947718  0.1595114863  0.499084453  0.83298800 1.00  5912
mean.phi[6, 2]   0.239272783 0.12204542  0.0529146311  0.222929187  0.51573358 1.00  6023
mean.phi[1, 3]   0.567534889 0.08231097  0.4035996298  0.569021034  0.72610800 1.00 10461
mean.phi[2, 3]   0.832705148 0.06177179  0.6920779959  0.839627728  0.93236245 1.00 11053
mean.phi[3, 3]   0.712423044 0.10909531  0.4716798417  0.722225324  0.89305355 1.00  9551
mean.phi[4, 3]   0.876329863 0.07233206  0.6998574140  0.890669011  0.97462655 1.00  6110
mean.phi[5, 3]   0.517314875 0.18274997  0.1702935729  0.520732263  0.85328025 1.00  6877
mean.phi[6, 3]   0.246797618 0.12734856  0.0541817687  0.228759832  0.53632965 1.00 10067
mean.phi[1, 4]   0.435326501 0.10806896  0.2302854406  0.435031252  0.64541980 1.00  1264
mean.phi[2, 4]   0.700477463 0.08583320  0.5189788033  0.706057624  0.84873833 1.00  5727
mean.phi[3, 4]   0.770515212 0.07262328  0.6128776641  0.776539021  0.89473107 1.00  7703
mean.phi[4, 4]   0.902843161 0.04933298  0.7830694661  0.911459668  0.97361742 1.00  5113
mean.phi[5, 4]   0.630012061 0.14159850  0.3339791177  0.639735674  0.87566673 1.00  6188
mean.phi[6, 4]   0.257308782 0.12333317  0.0654087716  0.241526346  0.53439886 1.00  4241
mean.phi[1, 5]   0.350242275 0.08372640  0.1965189566  0.346604112  0.52550090 1.00  1678
mean.phi[2, 5]   0.771332475 0.11787376  0.4875900132  0.791689657  0.94113609 1.00  1455
mean.phi[3, 5]   0.901215651 0.05901321  0.7558100371  0.912918273  0.97951998 1.00  1968
mean.phi[4, 5]   0.798407535 0.05563586  0.6782900052  0.803054560  0.89382070 1.00  7416
mean.phi[5, 5]   0.662196498 0.14260314  0.3583061737  0.673911697  0.89974716 1.00  2547
mean.phi[6, 5]   0.640553382 0.16755357  0.2699499996  0.661203836  0.90470403 1.01  1675
mean.phi[1, 6]   0.205318520 0.08424902  0.0705135201  0.196205686  0.39578481 1.00  1849
mean.phi[2, 6]   0.779665903 0.08589423  0.5818144559  0.790438807  0.91640890 1.00  2318
mean.phi[3, 6]   0.884301063 0.07429593  0.6964623206  0.900849935  0.97745090 1.00  1811
mean.phi[4, 6]   0.814332852 0.04990108  0.7060930727  0.818080311  0.90053110 1.00  7698
mean.phi[5, 6]   0.564156566 0.15203540  0.2571106710  0.573196088  0.83384216 1.00  2134
mean.phi[6, 6]   0.628360014 0.15597418  0.2950209127  0.643459972  0.88354801 1.00  2023
mean.phi[1, 7]   0.175960160 0.05996805  0.0736591815  0.170986417  0.30814999 1.00  1283
mean.phi[2, 7]   0.748957880 0.12210974  0.4621094805  0.768220378  0.93141574 1.00  1801
mean.phi[3, 7]   0.908301701 0.05254630  0.7783664276  0.918583395  0.97922966 1.00  2538
mean.phi[4, 7]   0.774401201 0.05875668  0.6475048731  0.778856154  0.87726816 1.00  7822
mean.phi[5, 7]   0.786980765 0.09574163  0.5662181858  0.800298406  0.93483859 1.00  3569
mean.phi[6, 7]   0.738937040 0.13158079  0.4283645616  0.759481778  0.93389890 1.00  2130
mean.phi[1, 8]   0.495556440 0.12126863  0.2470174077  0.499730296  0.72135791 1.00  3869
mean.phi[2, 8]   0.699132656 0.10780598  0.4572112323  0.711571816  0.87504621 1.00  6002
