Information and diagnostics 
=========================== 
Total iter:                       10000 
Thin:                             1 
Num chains:                       3 
Max Rhat:                         1.14 
Min n.eff:                        0 


Model summary 
============= 
                       mean          sd          2.5%          50%       97.5% Rhat n.eff
betaD.R[1]      -0.03475512 0.741392110 -1.514916e+00 -0.023716417  1.39523719 1.00  4975
mean.R[3, 15]    0.15978626 0.088047269  3.456342e-02  0.144221024  0.36942602 1.00  8916
mean.R[4, 15]    0.14575713 0.065028930  4.687944e-02  0.136540464  0.29814956 1.00  8408
mean.R[5, 15]    0.39310796 0.103443136  2.039855e-01  0.388575750  0.60560324 1.00  8865
mean.R[6, 15]    0.12918876 0.050579371  4.993072e-02  0.122445333  0.24585298 1.00  7766
mean.R[1, 16]    0.02351871 0.019350995  2.002471e-03  0.018465277  0.07425880 1.00  4804
mean.R[2, 16]    0.08920356 0.049198644  2.063051e-02  0.079819376  0.21112324 1.00  8318
mean.R[3, 16]    0.14167928 0.073896174  3.353557e-02  0.129549206  0.31820869 1.00  8248
mean.R[4, 16]    0.14140062 0.058073864  5.075045e-02  0.134124345  0.27387054 1.00  7664
mean.R[5, 16]    0.34337349 0.089619697  1.804113e-01  0.338686155  0.52827427 1.00  7363
mean.R[6, 16]    0.12221815 0.044889702  5.036948e-02  0.116816545  0.22438780 1.00  6836
mean.R[1, 17]    0.02555999 0.030213915  1.159504e-03  0.016488281  0.10347225 1.01  4988
mean.R[2, 17]    0.20347685 0.155026463  2.734109e-02  0.159694296  0.61756797 1.00  5446
mean.R[3, 17]    0.09604896 0.069688708  8.078799e-03  0.080916867  0.26854708 1.00  5422
mean.R[4, 17]    0.08164039 0.061020577  6.412990e-03  0.068469560  0.23357328 1.00  4057
mean.R[5, 17]    0.28400810 0.159961049  3.112839e-02  0.269848554  0.65345132 1.01  3364
mean.R[6, 17]    0.10719625 0.065669219  1.665450e-02  0.095624439  0.26851088 1.00  3664
mean.p[1]        0.99126399 0.002799982  9.850035e-01  0.991561350  0.99578552 1.00  6376
mean.p[2]        0.99136438 0.002697656  9.853772e-01  0.991637707  0.99579602 1.00  5497
mean.p[3]        0.99136991 0.002708479  9.852604e-01  0.991600494  0.99585527 1.00  5305
mean.p[4]        0.99141663 0.002705182  9.852853e-01  0.991687673  0.99586835 1.00  5334
mean.p[5]        0.99127258 0.002717510  9.850843e-01  0.991554506  0.99575888 1.00  5405
mean.p[6]        0.99139120 0.002707204  9.852321e-01  0.991665774  0.99581657 1.01  5344
mean.p[7]        0.99110288 0.002867395  9.845823e-01  0.991423556  0.99565992 1.01  4414
mean.p[8]        0.99123887 0.002746217  9.850144e-01  0.991530360  0.99571498 1.00  5273
mean.p[9]        0.99122879 0.002763550  9.849863e-01  0.991525179  0.99573203 1.01  5373
mean.p[10]       0.99140322 0.002701457  9.853230e-01  0.991676433  0.99587228 1.00  5299
mean.p[11]       0.99140919 0.002703940  9.853077e-01  0.991663119  0.99588500 1.00  5234
mean.p[12]       0.99143765 0.002660982  9.854656e-01  0.991696671  0.99581840 1.00  5400
mean.p[13]       0.99142160 0.002717870  9.852527e-01  0.991682106  0.99587235 1.01  5225
mean.p[14]       0.99144086 0.002673160  9.854580e-01  0.991722430  0.99585472 1.00  5097
mean.p[15]       0.99125307 0.002773124  9.849326e-01  0.991548158  0.99571463 1.00  5207
mean.p[16]       0.99132989 0.002713721  9.852811e-01  0.991597584  0.99581731 1.00  5405
mean.p[17]       0.99128255 0.002726566  9.851358e-01  0.991558618  0.99575113 1.00  5321
mean.p[18]       0.99131059 0.002772341  9.850687e-01  0.991597726  0.99579925 1.00  4968
mean.phi[1, 1]   0.78598081 0.105034860  5.483501e-01  0.798981408  0.94989654 1.00  4049
mean.phi[2, 1]   0.91079790 0.069709619  7.270471e-01  0.928165555  0.98837766 1.01  4003
mean.phi[3, 1]   0.85723968 0.081265135  6.584836e-01  0.871105529  0.97309905 1.01  4673
mean.phi[4, 1]   0.92930468 0.049499000  7.986835e-01  0.941374983  0.98754909 1.00  5438
mean.phi[5, 1]   0.90684882 0.067439000  7.336549e-01  0.922411903  0.98791772 1.00  3876
mean.phi[6, 1]   0.79307424 0.084550063  6.066867e-01  0.801224641  0.93217139 1.00  4306
mean.phi[1, 2]   0.79911509 0.081122506  6.173421e-01  0.808869145  0.92936461 1.00  3523
mean.phi[2, 2]   0.94049128 0.046077757  8.214147e-01  0.952550578  0.99201640 1.00  6687
mean.phi[3, 2]   0.70612142 0.124451706  4.254324e-01  0.721201800  0.90347547 1.00  5525
mean.phi[4, 2]   0.93081009 0.044284753  8.163338e-01  0.941120715  0.98636344 1.00  6405
mean.phi[5, 2]   0.91683162 0.058479934  7.649003e-01  0.931067648  0.98727156 1.00  5887
mean.phi[6, 2]   0.62677078 0.099465454  4.244096e-01  0.631488798  0.80735273 1.00  8811
