Information and diagnostics 
=========================== 
Total iter:                       10000 
Thin:                             1 
Num chains:                       3 
Max Rhat:                         1.08 
Min n.eff:                        0 


Model summary 
============= 
                       mean          sd          2.5%         50%       97.5% Rhat n.eff
betaVR.R[1]      0.39528230 0.967174380 -1.487692e+00  0.38314610  2.24056576 1.00  6106
mean.R[2, 12]    0.62033647 0.244771822  1.067291e-01  0.65995855  0.96524590 1.00  6904
mean.R[3, 12]    0.57646288 0.282274813  5.594405e-02  0.60833404  0.98033680 1.00  5017
mean.R[4, 12]    0.44619184 0.287573100  2.714773e-02  0.41089126  0.96032358 1.00  2766
mean.R[5, 12]    0.30033700 0.249149516  1.032566e-02  0.22723976  0.87718972 1.00  3700
mean.R[6, 12]    0.13474767 0.171649933  2.442871e-03  0.06608121  0.66317220 1.00  2500
mean.R[1, 13]    0.89853568 0.136021106  4.867393e-01  0.95426504  0.99926087 1.01  2440
mean.R[2, 13]    0.88443098 0.130879005  5.173858e-01  0.93254027  0.99860482 1.01  2221
mean.R[3, 13]    0.85660566 0.161395176  4.067054e-01  0.91822195  0.99870143 1.01  1527
mean.R[4, 13]    0.77537781 0.211552369  2.453320e-01  0.84563256  0.99710834 1.02  1123
mean.R[5, 13]    0.66917256 0.246537611  1.535475e-01  0.71630973  0.99074700 1.01  2024
mean.R[6, 13]    0.42164480 0.285612590  3.218509e-02  0.36811756  0.97188824 1.00  1473
mean.R[1, 14]    0.58643076 0.265146162  7.377788e-02  0.61999628  0.96974287 1.00  5341
mean.R[2, 14]    0.53098042 0.260441754  5.631374e-02  0.54463799  0.94905712 1.00  5586
mean.R[3, 14]    0.49001309 0.267458001  4.324733e-02  0.48656402  0.94580567 1.00  4341
mean.R[4, 14]    0.35557117 0.238909231  2.896820e-02  0.31112215  0.87548696 1.00  4368
mean.R[5, 14]    0.25284527 0.212323062  1.059904e-02  0.19122206  0.78105936 1.00  3461
mean.R[6, 14]    0.08623299 0.096646202  2.744661e-03  0.05213590  0.35886493 1.00  3246
mean.R[1, 15]    0.52597051 0.258005032  6.810605e-02  0.53686040  0.95265720 1.00  7307
mean.R[2, 15]    0.47554092 0.263622308  4.261891e-02  0.46639050  0.94181786 1.00  6236
mean.R[3, 15]    0.42863607 0.264452839  3.209459e-02  0.40360798  0.93358005 1.00  6166
mean.R[4, 15]    0.30856777 0.231637173  1.789492e-02  0.25512124  0.84541048 1.00  5968
mean.R[5, 15]    0.24312201 0.213133719  9.759521e-03  0.17747925  0.78678368 1.00  4789
