mean.phi[3, 2]   0.736986809 0.06376081  0.583258975  0.7447070487  0.83731238 1.00  2140
mean.phi[4, 2]   0.552582211 0.07855694  0.368216315  0.5609242203  0.68407700 1.00  1558
mean.phi[1, 3]   0.782634034 0.03652598  0.707112741  0.7828603791  0.85587468 1.00  4441
mean.phi[2, 3]   0.829521525 0.03615152  0.750764719  0.8311565306  0.89713854 1.00  4132
mean.phi[3, 3]   0.743672282 0.05614634  0.615544041  0.7479181160  0.84040422 1.00  4019
mean.phi[4, 3]   0.562611744 0.07115098  0.402999540  0.5677602771  0.69016298 1.01  3896
mean.phi[1, 4]   0.743385572 0.03895221  0.660681041  0.7449263035  0.81642972 1.00  5866
mean.phi[2, 4]   0.847036651 0.03591209  0.776251915  0.8467207074  0.91956707 1.01  1556
mean.phi[3, 4]   0.742860476 0.05909556  0.613808389  0.7466923530  0.84883660 1.00  5265
mean.phi[4, 4]   0.541404976 0.08077717  0.359784530  0.5483413538  0.68247256 1.00  1941
mean.phi[1, 5]   0.882228669 0.04690235  0.775478306  0.8884850189  0.95550722 1.00  3479
mean.phi[2, 5]   0.796203735 0.04421098  0.702027058  0.7988431372  0.87460399 1.00  7006
mean.phi[3, 5]   0.752187042 0.10596356  0.509249440  0.7663701034  0.91654982 1.00  4442
mean.phi[4, 5]   0.622829700 0.15639171  0.287253083  0.6381508061  0.87971319 1.00  3491
mean.phi[1, 6]   0.864047295 0.04915888  0.751158161  0.8701870083  0.94146269 1.00  3661
mean.phi[2, 6]   0.804709232 0.03981618  0.720353309  0.8064439576  0.87805004 1.00  6687
mean.phi[3, 6]   0.732484540 0.10710094  0.487015685  0.7473126187  0.90033935 1.00  1794
mean.phi[4, 6]   0.618753332 0.14396846  0.311604094  0.6309747320  0.86108393 1.00  3404
mean.phi[1, 7]   0.882309199 0.04643278  0.776648863  0.8882995826  0.95554728 1.00  3502
mean.phi[2, 7]   0.791989373 0.04530113  0.694348665  0.7952507474  0.87057990 1.00  6453
mean.phi[3, 7]   0.766581856 0.09620105  0.550336228  0.7773949115  0.92137226 1.00  5164
mean.phi[4, 7]   0.625578709 0.15523965  0.291812428  0.6394130138  0.88365635 1.00  3304
mean.phi[1, 8]   0.792632113 0.04666512  0.682026877  0.7968796258  0.87219756 1.01  3493
mean.phi[2, 8]   0.834147367 0.03168687  0.770876066  0.8336677584  0.89943599 1.00  2640
mean.phi[3, 8]   0.758423544 0.05264887  0.647428412  0.7601287745  0.85795437 1.00  4982
mean.phi[4, 8]   0.581594536 0.07854853  0.413940166  0.5856394014  0.72636733 1.01  3857
mean.phi[1, 9]   0.785153927 0.04465414  0.686212760  0.7868429201  0.87080611 1.01  3377
mean.phi[2, 9]   0.802356535 0.04735301  0.681171236  0.8117490141  0.86859833 1.01   571
mean.phi[3, 9]   0.757961667 0.04723557  0.660352159  0.7591989853  0.84817823 1.00  5363
mean.phi[4, 9]   0.587772030 0.07140854  0.449046132  0.5869351951  0.73269658 1.00  4236
mean.phi[1, 10]  0.807210818 0.03968560  0.718609849  0.8105225622  0.87669510 1.01  4189
mean.phi[2, 10]  0.829572337 0.03605155  0.758106371  0.8294214545  0.90344646 1.00  3354
mean.phi[3, 10]  0.769991855 0.05199911  0.665065128  0.7711606843  0.87030843 1.00  2788
mean.phi[4, 10]  0.609950044 0.08298768  0.447887633  0.6108429251  0.77568841 1.00  3070
mean.phi[1, 11]  0.715681499 0.04651408  0.619336140  0.7169981206  0.80371373 1.00  6377
mean.phi[2, 11]  0.839260528 0.04362326  0.743947237  0.8430442187  0.91369028 1.00  3271
mean.phi[3, 11]  0.736153648 0.06614327  0.594880083  0.7406960021  0.85278998 1.00  6922
mean.phi[4, 11]  0.553001605 0.08824843  0.376575758  0.5548850539  0.71978048 1.00  5824
mean.phi[1, 12]  0.723897898 0.04968431  0.622145040  0.7247940388  0.82046719 1.00  4949
mean.phi[2, 12]  0.843643494 0.03897014  0.759012252  0.8455419610  0.91337853 1.00  4120
mean.phi[3, 12]  0.731112059 0.06871160  0.583909228  0.7358175745  0.85236277 1.00  5893
mean.phi[4, 12]  0.563839316 0.08261897  0.398954223  0.5646047438  0.72226566 1.00  5891
mean.phi[1, 13]  0.715812818 0.04664642  0.609576312  0.7196681146  0.79669626 1.01  3693
mean.phi[2, 13]  0.832730433 0.03753693  0.749860881  0.8357013527  0.89743404 1.00  4474
mean.phi[3, 13]  0.740007034 0.06431069  0.600178586  0.7445275785  0.85350200 1.00  5630
mean.phi[4, 13]  0.589650211 0.08105748  0.433361803  0.5879687277  0.75930519 1.01  1418
mean.phi[1, 14]  0.737646359 0.04343008  0.647001038  0.7393263238  0.82128379 1.00  5878
mean.phi[2, 14]  0.834096017 0.03661097  0.753386648  0.8364104059  0.89854732 1.00  4356
mean.phi[3, 14]  0.741120735 0.06127538  0.608160976  0.7450818639  0.85052889 1.00  5735
mean.phi[4, 14]  0.556832231 0.07549777  0.400927761  0.5592828968  0.69916074 1.00  5747
mean.phi[1, 15]  0.765895973 0.04276170  0.681480352  0.7645682693  0.85705243 1.00  2736
